Synergy2,,,,,
Applicator,14x14,,,,
Energy,4,6,8,10,12
SSD/Zref,0.89,1.36,1.81,2.31,2.78
95,1.048,0.992,0.992,0.975,0.973
95.5,1.037,0.982,0.985,0.967,0.958
96,1.027,0.972,0.975,0.958,0.951
97,1.006,0.953,0.955,0.941,0.938
98,0.985,0.933,0.935,0.923,0.924
99,0.966,0.916,0.917,0.906,0.906
100,0.946,0.898,0.899,0.888,0.888
105,0.849,0.807,0.812,0.804,0.802
110,0.761,0.728,0.734,0.729,0.726
115,0.683,0.657,0.666,0.662,0.66
