Synergy2,,,,,,
Applicator,10x10,,,,,
Dimensions,id,4,6,8,10,12
10x10,1,1.000,1.000,1.000,1.000,1.000
8x10,3,1.000,1.000,1.000,1.000,1.000
6x10,5,1.000,1.000,1.000,1.000,1.000
5x10,6,1.000,1.000,1.000,1.000,1.000
4x10,7,1.000,1.000,1.000,1.000,0.990
3x10,8,1.000,1.000,0.971,0.962,0.943
2.5x10,9,1.020,0.980,0.962,0.943,0.917
8x8,10,1.000,1.000,1.000,1.000,1.000
6x8,11,1.000,1.000,1.000,1.000,1.000
5x8,13,1.000,1.000,1.000,1.000,1.000
6x10 (AS=2cm),14,1.000,1.000,1.000,1.000,1.000
