Synergy2,,,,,,
Applicator,14x14,,,,,
Dimensions,id,4,6,8,10,12
14x14,1,1.000,1.000,1.000,1.000,1.000
12x10,2,1.000,1.000,1.000,1.000,1.000
10x14,3,1.000,1.000,1.000,1.000,1.000
10x11,4,1.000,1.000,1.000,1.000,1.000
8x14,5,1.000,1.000,1.000,1.000,1.000
12x12,10,1.000,1.000,1.000,1.000,1.000
4x12,11,1.000,1.000,1.000,1.000,1.000
6x12,12,1.000,1.000,1.000,1.000,1.000
8x12,13,1.000,1.000,1.000,1.000,1.000
