Synergy2,,,,,
Applicator,10x10,,,,
Energy,4,6,8,10,12
SSD/Zref,0.89,1.36,1.81,2.31,2.78
95,1.000,1.000,1.000,1.000,1.000
95.5,0.991,0.99,0.992,0.992,0.993
96,0.982,0.981,0.983,0.984,0.984
97,0.963,0.964,0.966,0.967,0.967
98,0.945,0.947,0.949,0.95,0.949
99,0.925,0.927,0.93,0.93,0.928
100,0.904,0.906,0.91,0.909,0.907
105,0.796,0.805,0.813,0.815,0.812
110,0.706,0.721,0.731,0.737,0.731
115,0.627,0.647,0.66,0.667,0.662
